name,base_experience,height,weight
sunkern,36,3,18
pichu,41,3,20
makuhita,47,10,864
pawmi,48,3,25
combee,49,3,55
flittle,51,2,15
yamper,54,3,135
tadbulb,54,3,4
chingling,57,2,6
meowth,58,4,42
helioptile,58,5,60
sandshrew,60,6,120
numel,61,7,240
cutiefly,61,1,2
cyndaquil,62,5,79
sewaddle,62,3,25
fidough,62,3,109
psyduck,64,8,196
joltik,64,1,6
drowzee,66,10,324
cufant,66,12,1000
toedscool,67,9,330
scraggy,70,6,118
mienfoo,70,9,200
archen,71,5,95
kakuna,72,6,100
elekid,72,6,235
ponyta,82,10,300
pikachu,112,4,60
dottler,117,4,195
pawmo,123,4,65
quilava,142,9,190
plusle,142,4,42
minun,142,4,42
dunsparce,145,15,140
mothim,148,9,233
sunflora,149,8,85
dedenne,151,2,22
morpeko-full-belly,153,3,30
persian,154,10,320
pelipper,154,12,280
sandslash,158,10,295
girafarig,159,15,415
ninjask,160,8,120
lunatone,161,10,1680
ribombee,162,2,5
galvantula,165,8,143
falinks,165,30,620
manectric,166,15,402
vespiquen,166,12,385
mimikyu-disguised,167,2,7
heliolisk,168,10,210
espathra,168,19,900
hypno,169,16,756
cofagrigus,169,17,765
electabuzz,172,11,300
boltund,172,10,340
kilowattrel,172,14,386
rapidash,175,17,950
ninetales,177,11,199
shuckle,177,6,205
archeops,177,14,320
beedrill,178,10,295
beautifly,178,10,284
dudunsparce,182,36,392
jolteon,184,8,245
exeggutor,186,20,1200
leavanny,225,12,205
ampharos,230,14,615
typhlosion,240,17,795
raichu,243,8,300
pawmot,245,9,410
electivire,270,18,1386
haxorus,270,18,1055
gholdengo,275,12,300
tapu-koko,285,18,205
iron-moth,285,12,360
zapdos,290,16,526
moltres,290,20,600
raikou,290,19,1780
uxie,290,3,3
keldeo-ordinary,290,14,485
regieleki,290,12,1450
raging-bolt,295,52,4800
jirachi,300,3,11
cresselia,300,15,856
victini,300,4,40
zeraora,300,15,445
